schema,table,column,data_type
public,BSAD,mwskz,text
public,BSAD,dmbtr,text
public,BSAD,wrbtr,text
public,BSAD,mwsts,text
public,BSAD,wmwst,text
public,BSAD,bdiff,text
public,BSAD,bdif2,text
public,BSAD,sgtxt,text
public,BSAD,projn,text
public,BSAD,aufnr,text
public,BSAD,anln1,text
public,BSAD,anln2,text
public,BSAD,saknr,text
public,BSAD,hkont,text
public,BSAD,fkont,text
public,BSAD,filkd,text
public,BSAD,zfbdt,text
public,BSAD,zterm,text
public,BSAD,zbd1t,text
public,BSAD,zbd2t,text
public,BSAD,zbd3t,text
public,BSAD,zbd1p,text
public,BSAD,zbd2p,text
public,BSAD,skfbt,text
public,BSAD,sknto,text
public,BSAD,wskto,text
public,BSAD,zlsch,text
public,BSAD,zlspr,text
public,BSAD,zbfix,text
public,BSAD,hbkid,text
public,BSAD,bvtyp,text
public,BSAD,rebzg,text
public,BSAD,rebzj,text
public,BSAD,rebzz,text
public,BSAD,samnr,text
public,BSAD,anfbn,text
public,BSAD,anfbj,text
public,BSAD,anfbu,text
public,BSAD,anfae,text
public,BSAD,mansp,text
public,BSAD,mschl,text
public,BSAD,madat,text
public,BSAD,manst,text
public,BSAD,maber,text
public,BSAD,xnetb,text
public,BSAD,xanet,text
public,BSAD,xcpdd,text
public,BSAD,xinve,text
public,BSAD,xzahl,text
public,BSAD,mwsk1,text
public,BSAD,dmbt1,text
public,BSAD,wrbt1,text
public,BSAD,mwsk2,text
public,BSAD,dmbt2,text
public,BSAD,wrbt2,text
public,BSAD,mwsk3,text
public,BSAD,dmbt3,text
public,BSAD,wrbt3,text
public,BSAD,bstat,text
public,BSAD,vbund,text
public,BSAD,vbeln,text
public,BSAD,rebzt,text
public,BSAD,infae,text
public,BSAD,stceg,text
public,BSAD,egbld,text
public,BSAD,eglld,text
public,BSAD,rstgr,text
public,BSAD,xnoza,text
public,BSAD,vertt,text
public,BSAD,vertn,text
public,BSAD,vbewa,text
public,BSAD,wverw,text
public,BSAD,projk,text
public,BSAD,fipos,text
public,BSAD,nplnr,text
public,BSAD,aufpl,text
public,BSAD,aplzl,text
public,BSAD,xegdr,text
public,BSAD,dmbe2,text
public,BSAD,dmbe3,text
public,BSAD,dmb21,text
public,BSAD,dmb22,text
public,BSAD,dmb23,text
public,BSAD,dmb31,text
public,BSAD,dmb32,text
public,BSAD,dmb33,text
public,BSAD,bdif3,text
public,BSAD,xragl,text
public,BSAD,uzawe,text
public,BSAD,xstov,text
public,BSAD,mwst2,text
public,BSAD,mwst3,text
public,BSAD,sknt2,text
public,BSAD,sknt3,text
public,BSAD,xref1,text
public,BSAD,xref2,text
public,BSAD,xarch,text
public,BSAD,pswsl,text
public,BSAD,pswbt,text
public,BSAD,lzbkz,text
public,BSAD,landl,text
public,BSAD,imkey,text
public,BSAD,vbel2,text
public,BSAD,vpos2,text
public,BSAD,posn2,text
public,BSAD,eten2,text
public,BSAD,fistl,text
public,BSAD,geber,text
public,BSAD,dabrz,text
public,BSAD,xnegp,text
public,BSAD,kostl,text
public,BSAD,rfzei,text
public,BSAD,kkber,text
public,BSAD,empfb,text
public,BSAD,prctr,text
public,BSAD,xref3,text
public,BSAD,qsskz,text
public,BSAD,zinkz,text
public,BSAD,dtws1,text
public,BSAD,dtws2,text
public,BSAD,dtws3,text
public,BSAD,dtws4,text
public,BSAD,xpypr,text
public,BSAD,kidno,text
public,BSAD,absbt,text
public,BSAD,ccbtc,text
public,BSAD,pycur,text
public,BSAD,pyamt,text
public,BSAD,bupla,text
public,BSAD,secco,text
public,BSAD,cession_kz,text
public,BSAD,ppdiff,text
public,BSAD,ppdif2,text
public,BSAD,ppdif3,text
public,BSAD,kblnr,text
public,BSAD,kblpos,text
public,BSAD,grant_nbr,text
public,BSAD,gmvkz,text
public,BSAD,srtype,text
public,BSAD,lotkz,text
public,BSAD,fkber,text
public,BSAD,intreno,text
public,BSAD,pprct,text
public,BSAD,buzid,text
public,BSAD,auggj,text
public,BSAD,hktid,text
public,BSAD,budget_pd,text
public,BSAD,pays_prov,text
public,BSAD,pays_tran,text
public,BSAD,mndid,text
public,BSAD,kontt,text
public,BSAD,kontl,text
public,BSAD,uebgdat,text
public,BSAD,vname,text
public,BSAD,egrup,text
public,BSAD,btype,text
public,BSAD,propmano,text
public,BSEG,mandt,text
public,BSEG,bukrs,text
public,BSEG,belnr,text
public,BSEG,gjahr,text
public,BSEG,buzei,text
public,BSEG,buzid,text
public,BSEG,augdt,text
public,BSEG,augcp,text
public,BSEG,augbl,text
public,BSEG,bschl,text
public,BSEG,koart,text
public,BSEG,umskz,text
public,BSEG,umsks,text
public,BSEG,zumsk,text
public,BSEG,shkzg,text
public,BSEG,gsber,text
public,BSEG,pargb,text
public,BSEG,mwskz,text
public,BSEG,qsskz,text
public,BSEG,dmbtr,text
public,BSEG,wrbtr,text
public,BSEG,kzbtr,text
public,BSEG,pswbt,text
public,BSEG,pswsl,text
public,BSEG,txbhw,text
public,BSEG,txbfw,text
public,BSEG,mwsts,text
public,BSEG,wmwst,text
public,BSEG,hwbas,text
public,BSEG,fwbas,text
public,BSEG,hwzuz,text
public,BSEG,fwzuz,text
public,BSEG,shzuz,text
public,BSEG,stekz,text
public,BSEG,mwart,text
public,BSEG,txgrp,text
public,BSEG,ktosl,text
public,BSEG,qsshb,text
public,BSEG,kursr,text
public,BSEG,gbetr,text
public,BSEG,bdiff,text
public,BSEG,bdif2,text
public,BSEG,valut,text
public,BSEG,zuonr,text
public,BSEG,sgtxt,text
public,BSEG,zinkz,text
public,BSEG,vbund,text
public,BSEG,bewar,text
public,BSEG,altkt,text
public,BSEG,vorgn,text
public,BSEG,fdlev,text
public,BSEG,fdgrp,text
public,BSEG,fdwbt,text
public,BSEG,fdtag,text
public,BSEG,fkont,text
public,BSEG,kokrs,text
public,BSEG,kostl,text
public,BSEG,projn,text
public,BSEG,aufnr,text
public,BSEG,vbeln,text
public,BSEG,vbel2,text
public,BSEG,posn2,text
public,BSEG,eten2,text
public,BSEG,anln1,text
public,BSEG,anln2,text
public,BSEG,anbwa,text
public,BSEG,bzdat,text
public,BSEG,pernr,text
